0,1,1,2,0,0,3,3,3,4,4,4,0,5,0,30,54,Level 3
1,0,1,0,2,0,3,0,0,0,0,0,0,0,5,12,51,Level 1
0,0,0,0,2,2,3,3,3,0,4,0,0,5,0,22,56,Level 2
0,1,1,2,0,2,0,0,0,4,0,0,5,0,5,20,40,Level 2
0,1,1,2,2,0,0,3,3,4,0,4,5,5,0,30,44,Level 4
1,0,1,2,0,2,0,3,3,0,4,4,5,5,5,35,53,Level 3
0,0,0,0,2,2,0,3,3,0,4,4,5,5,5,33,57,Level 3
1,1,1,0,2,0,3,3,3,0,4,0,5,0,0,23,33,Level 4
0,1,0,0,2,2,3,3,3,0,4,4,5,0,0,27,31,Level 4
0,0,1,0,2,0,0,3,3,4,0,0,5,0,0,18,49,Level 2
1,1,1,0,2,2,3,0,3,0,4,0,5,0,0,22,41,Level 3
1,1,0,0,0,2,3,3,3,4,0,4,0,5,5,31,52,Level 3
1,1,1,0,0,0,0,0,3,0,4,0,5,0,0,15,44,Level 2
1,0,0,0,0,0,0,0,0,4,0,0,0,5,5,15,34,Level 2
1,0,1,0,2,2,0,3,3,0,4,0,0,0,0,16,34,Level 2
1,1,1,0,0,2,0,0,0,4,0,4,0,5,0,18,37,Level 2
1,0,1,2,2,0,0,3,3,0,0,4,5,0,0,21,52,Level 2
1,0,0,0,0,0,0,0,3,4,4,0,0,0,0,12,58,Level 1
1,1,1,0,0,2,0,0,0,4,4,0,5,5,5,28,55,Level 3
0,1,1,2,2,0,3,3,3,0,0,0,5,5,0,25,35,Level 4
1,0,0,2,0,2,0,0,3,0,0,0,5,5,5,23,58,Level 2
0,1,1,2,0,0,0,3,3,0,0,0,0,0,0,10,46,Level 1
0,1,1,2,0,2,0,3,3,4,0,0,0,5,0,21,49,Level 2
0,0,1,0,2,2,0,0,3,4,4,4,5,0,5,30,39,Level 4
1,1,1,2,0,2,0,3,0,4,0,4,5,0,0,23,45,Level 3
0,1,1,0,0,2,0,0,0,0,4,0,5,5,0,18,43,Level 2
0,1,0,0,0,2,0,3,3,0,4,4,0,0,0,17,39,Level 2
0,0,0,2,0,2,3,3,0,0,0,0,5,5,5,25,39,Level 3
1,0,1,0,2,2,3,0,3,0,4,0,5,5,0,26,55,Level 2
1,1,1,2,2,0,0,3,3,4,0,0,5,5,0,27,42,Level 3
1,1,0,2,0,2,0,3,3,0,0,4,0,0,0,16,44,Level 2
0,0,0,0,0,0,0,0,3,4,4,0,5,5,0,21,48,Level 2
1,1,1,2,2,2,0,0,3,0,0,0,5,0,0,17,36,Level 2
0,1,0,0,2,0,0,0,3,4,4,0,5,0,0,19,56,Level 2
1,1,1,2,2,0,0,0,3,4,0,4,5,0,0,23,56,Level 2
0,1,1,2,2,0,0,0,3,4,0,4,5,5,5,32,31,Level 4
0,1,1,0,2,0,3,0,3,0,0,4,5,5,5,29,39,Level 4
0,0,1,0,2,0,0,0,0,0,4,4,5,0,5,21,39,Level 3
0,1,0,2,2,0,0,0,0,4,4,0,0,5,0,18,46,Level 2
1,0,1,0,0,0,3,3,0,4,4,4,5,0,5,30,49,Level 3
1,0,0,0,0,2,3,0,0,0,0,0,5,5,0,16,34,Level 2
0,0,0,2,0,0,0,0,3,0,0,0,5,0,5,15,46,Level 1
0,0,1,2,0,2,3,0,0,0,4,4,5,5,0,26,49,Level 3
1,0,1,0,2,0,0,3,0,0,0,4,5,5,0,21,50,Level 2
0,0,1,2,0,0,3,3,0,4,0,0,0,0,5,18,44,Level 2
0,0,1,2,0,0,0,0,3,0,0,0,0,0,5,11,40,Level 1
1,0,0,0,2,2,3,0,3,4,0,0,0,5,5,25,51,Level 2
0,0,1,0,0,2,3,0,0,4,0,4,5,5,0,24,53,Level 2
1,0,1,0,0,2,3,0,3,4,0,0,5,0,0,19,35,Level 3
1,1,0,0,2,2,3,0,3,0,0,4,0,0,5,21,50,Level 2
1,0,1,2,2,2,3,3,3,0,0,0,5,5,5,32,45,Level 4
1,0,1,2,2,0,0,0,0,4,4,4,0,5,0,23,59,Level 2
0,0,0,0,2,0,3,0,0,4,4,0,0,5,5,23,47,Level 2
1,0,1,2,0,2,0,3,0,4,0,4,0,5,0,22,34,Level 3
0,1,0,0,2,2,0,0,3,0,4,0,0,0,0,12,46,Level 1
1,0,0,0,2,0,0,3,3,0,4,0,0,5,0,18,55,Level 1
0,0,0,2,0,0,0,3,3,0,4,4,0,5,0,21,59,Level 2
0,1,1,0,2,0,0,3,3,4,0,0,5,0,5,24,49,Level 2
0,1,1,2,0,2,0,0,3,4,0,0,0,5,0,18,37,Level 2
0,1,0,2,2,2,3,3,3,4,4,0,0,5,5,34,44,Level 4
0,1,1,2,0,0,3,0,3,4,0,0,5,0,0,19,44,Level 2
0,1,0,2,0,0,0,0,0,0,0,4,5,5,5,22,38,Level 3
0,0,1,2,2,0,3,0,0,4,0,0,5,0,5,22,55,Level 2
1,0,1,0,0,0,0,3,3,0,4,4,0,0,0,16,36,Level 2
0,1,1,2,2,0,0,0,3,0,4,4,5,0,0,22,37,Level 3
0,0,1,0,2,2,3,3,3,0,4,4,0,0,0,22,51,Level 2
1,0,1,0,0,0,0,0,3,4,4,4,5,0,0,22,58,Level 2
0,0,1,2,2,0,0,0,0,0,4,0,5,5,0,19,36,Level 3
0,1,1,2,2,2,0,3,0,0,0,4,5,5,0,25,51,Level 2
1,1,1,2,0,0,0,3,3,4,4,4,0,0,0,23,33,Level 4
0,1,1,0,2,2,3,3,0,4,4,0,0,0,0,20,35,Level 3
1,0,1,2,0,2,3,3,3,0,0,0,5,5,5,30,57,Level 3
0,1,1,0,0,2,3,0,3,0,4,0,0,0,5,19,54,Level 2
0,1,1,0,2,2,0,0,3,4,4,0,0,0,5,22,33,Level 3
0,1,1,0,2,0,3,0,3,0,4,0,5,0,0,19,31,Level 3
1,0,1,0,2,0,0,3,3,0,4,4,5,5,0,28,57,Level 2
1,1,1,2,0,2,3,0,3,0,4,0,5,5,0,27,41,Level 3
